Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,4.6918e-06,-5.41151e-06,5.31728e-05,0.000286833,2.22609e-05,3.92132e-05
2,7.43601e-06,-1.89646e-05,5.26359e-05,0.000282871,2.22635e-05,3.18339e-05
3,1.08348e-05,-2.99507e-05,4.93058e-05,0.00028546,1.84598e-05,2.8813e-05
4,9.57172e-06,-1.70367e-05,5.05608e-05,0.000295737,1.27486e-05,3.4037e-05
5,6.00204e-06,1.53948e-06,5.44041e-05,0.000304777,8.05892e-06,3.86327e-05
6,3.28834e-06,5.04653e-06,5.66723e-05,0.00030723,7.0076e-06,3.85356e-05
7,3.39263e-06,3.51345e-06,5.72254e-05,0.000307933,8.85204e-06,3.85404e-05
8,6.25227e-06,3.1786e-06,5.51224e-05,0.000306674,9.57528e-06,3.87413e-05
9,9.07357e-06,2.58069e-06,5.17406e-05,0.000307104,7.19148e-06,3.67339e-05
10,7.05697e-06,-6.53598e-06,5.199e-05,0.000308939,5.54098e-06,3.14224e-05
11,1.00837e-06,-2.19744e-05,5.62485e-05,0.000307358,7.85396e-06,2.79632e-05
12,-3.27318e-06,-2.7724e-05,5.93618e-05,0.000305018,1.26153e-05,3.21593e-05
13,-2.85872e-06,-1.60346e-05,5.87865e-05,0.000305938,1.66032e-05,4.10198e-05
14,2.1187e-06,8.16763e-08,5.36666e-05,0.000308044,1.77095e-05,4.62152e-05
15,8.79878e-06,8.75433e-06,4.67272e-05,0.000307999,1.65273e-05,4.64158e-05
16,1.18204e-05,3.6939e-06,4.45407e-05,0.000304065,1.5037e-05,4.19116e-05
17,1.04877e-05,-1.0403e-05,5.14456e-05,0.000296263,1.56366e-05,3.44143e-05
18,9.32104e-06,-1.57242e-05,6.01226e-05,0.000291583,1.72948e-05,3.10129e-05
19,1.00407e-05,-5.67098e-06,6.07389e-05,0.000294984,1.76131e-05,3.46238e-05
20,1.15363e-05,6.49108e-06,5.26291e-05,0.000299628,1.667e-05,4.1229e-05
21,1.24089e-05,9.80462e-06,4.46924e-05,0.000296954,1.63794e-05,4.48095e-05
22,1.07055e-05,3.15445e-06,4.57986e-05,0.000287545,1.52987e-05,4.16562e-05
23,6.30346e-06,-1.29855e-05,5.28127e-05,0.000275763,1.47419e-05,3.31317e-05
24,5.46638e-06,-2.44531e-05,5.79617e-05,0.000269891,1.78848e-05,2.83349e-05
25,8.73608e-06,-1.82194e-05,5.75397e-05,0.000272715,2.1413e-05,3.21849e-05
26,1.21614e-05,-2.12978e-06,5.47279e-05,0.000276941,2.26206e-05,3.85492e-05
27,1.285e-05,8.46865e-06,5.53032e-05,0.000273757,2.32411e-05,4.13088e-05
28,1.48387e-05,8.03545e-06,5.65032e-05,0.000264566,2.13273e-05,3.95399e-05
29,2.01264e-05,-8.54784e-06,5.47027e-05,0.000252202,1.99255e-05,3.38696e-05
30,2.16626e-05,-2.47004e-05,5.21856e-05,0.000241961,1.98496e-05,3.22824e-05
31,1.74264e-05,-1.84502e-05,5.42871e-05,0.00024014,1.86963e-05,3.70721e-05
32,1.13194e-05,-6.60646e-06,5.85318e-05,0.000240407,1.67803e-05,3.88318e-05
33,7.70271e-06,-2.80017e-06,6.15832e-05,0.000239902,1.49202e-05,3.75202e-05
34,9.61929e-06,1.73464e-07,6.18553e-05,0.000238643,1.39595e-05,4.01839e-05
35,1.79285e-05,1.70805e-06,5.82879e-05,0.00023474,1.39932e-05,4.38414e-05
36,2.53451e-05,3.33797e-07,5.39158e-05,0.000231831,1.39076e-05,4.62063e-05
37,2.59614e-05,-7.49224e-06,5.62717e-05,0.00022645,1.24114e-05,4.49959e-05
38,2.15742e-05,-2.05442e-05,6.52322e-05,0.000216732,1.08649e-05,3.99895e-05
39,1.65938e-05,-2.55084e-05,7.10472e-05,0.000212467,1.13832e-05,3.82858e-05
40,1.37248e-05,-1.39593e-05,6.97505e-05,0.000217528,1.4168e-05,4.08703e-05
41,1.3686e-05,-2.86723e-07,6.39617e-05,0.000220412,1.67195e-05,4.26928e-05
42,1.46383e-05,2.7731e-06,5.86802e-05,0.000215801,1.79353e-05,4.10413e-05
43,1.26684e-05,-6.24498e-06,5.85354e-05,0.0002064,1.76227e-05,3.6772e-05
44,8.38184e-06,-2.01351e-05,6.31311e-05,0.0001932,1.53509e-05,3.18276e-05
45,6.60906e-06,-2.34456e-05,6.5759e-05,0.000181836,1.13481e-05,3.14793e-05
46,8.33281e-06,-1.04617e-05,6.20292e-05,0.000179651,8.43899e-06,3.50644e-05
47,1.14117e-05,4.69052e-06,5.27516e-05,0.000184112,7.5444e-06,3.57092e-05
48,1.59295e-05,8.4917e-06,4.3244e-05,0.000186101,6.44477e-06,3.24708e-05
49,1.79989e-05,6.25775e-07,4.18276e-05,0.000181837,4.47353e-06,3.01411e-05
50,1.56314e-05,-1.35203e-05,4.96755e-05,0.000171055,4.53455e-06,2.98579e-05
51,1.52002e-05,-1.82024e-05,5.58736e-05,0.000161154,8.40637e-06,3.2186e-05
52,1.86698e-05,-6.62301e-06,5.50926e-05,0.000160399,1.31737e-05,3.7243e-05
53,2.16686e-05,7.54018e-06,5.16759e-05,0.000163243,1.4368e-05,4.26461e-05
54,2.09725e-05,1.06564e-05,5.13774e-05,0.000161315,1.46099e-05,4.56048e-05
55,1.70044e-05,1.91402e-06,5.02437e-05,0.000154499,1.86613e-05,4.50241e-05
56,1.64536e-05,-1.70899e-05,4.38562e-05,0.000144524,2.39833e-05,4.12254e-05
57,1.99993e-05,-2.86822e-05,3.75933e-05,0.000136674,2.48051e-05,3.78917e-05
58,2.07474e-05,-1.51237e-05,4.09268e-05,0.000138303,2.04309e-05,4.02417e-05
59,1.68045e-05,1.65652e-06,5.05157e-05,0.000140624,1.66945e-05,4.6593e-05
60,1.20797e-05,2.84686e-06,5.63776e-05,0.00013365,1.75351e-05,5.17621e-05
61,1.1547e-05,3.0673e-07,5.57111e-05,0.000124452,2.02867e-05,5.20021e-05
62,1.43002e-05,-2.98402e-07,5.10892e-05,0.000119051,2.11403e-05,4.7969e-05
63,1.60895e-05,-1.16125e-06,4.66756e-05,0.000117859,1.84581e-05,4.37802e-05
64,1.33034e-05,-9.16617e-06,4.74279e-05,0.000113697,1.30306e-05,4.00278e-05
65,8.49076e-06,-2.33225e-05,5.36176e-05,0.000105518,8.72814e-06,3.5017e-05
66,6.08002e-06,-2.69588e-05,5.80217e-05,0.00010192,8.92177e-06,3.39165e-05
67,6.95872e-06,-1.42308e-05,5.56456e-05,0.000104116,1.18976e-05,3.95353e-05
68,8.68207e-06,-1.1162e-06,4.82121e-05,0.000103347,1.3951e-05,4.32999e-05
69,8.62898e-06,1.63602e-06,4.28789e-05,9.76125e-05,1.24865e-05,4.09171e-05
70,6.44679e-06,-6.22693e-06,4.39129e-05,8.97044e-05,9.14125e-06,3.51761e-05
71,4.11114e-06,-1.90782e-05,4.83691e-05,8.07618e-05,9.11944e-06,2.92389e-05
72,3.50282e-06,-2.44507e-05,4.995e-05,7.48644e-05,1.23618e-05,2.81955e-05
73,4.86841e-06,-1.56394e-05,4.88715e-05,7.5511e-05,1.56042e-05,3.19573e-05
74,8.40888e-06,-3.12395e-06,4.61751e-05,7.8556e-05,1.79743e-05,3.60644e-05
75,1.24277e-05,8.53746e-07,4.17984e-05,7.96085e-05,1.83808e-05,3.8751e-05
76,1.1306e-05,-5.0941e-06,4.13253e-05,7.72918e-05,1.57292e-05,3.88649e-05
77,7.05472e-06,-1.6977e-05,4.71909e-05,7.05584e-05,1.14378e-05,3.54005e-05
78,8.80639e-06,-2.21072e-05,5.3692e-05,6.54849e-05,9.60253e-06,3.19392e-05
79,1.13229e-05,-1.23492e-05,5.50756e-05,6.61096e-05,1.06351e-05,3.32322e-05
80,1.12999e-05,1.02408e-06,5.40178e-05,6.96159e-05,1.33059e-05,3.70622e-05
81,1.11171e-05,5.60557e-06,5.6951e-05,7.0503e-05,1.79208e-05,3.95912e-05
82,1.00079e-05,3.44981e-07,5.75291e-05,6.7293e-05,2.0857e-05,4.13931e-05
83,1.09608e-05,-1.52352e-05,5.14183e-05,5.92282e-05,2.10923e-05,4.02025e-05
84,1.32958e-05,-2.62237e-05,4.53176e-05,5.22264e-05,1.82776e-05,3.73502e-05
85,1.10437e-05,-1.65863e-05,4.86363e-05,5.59493e-05,1.51421e-05,3.87089e-05
86,7.04572e-06,-1.88644e-06,5.63035e-05,6.069e-05,1.39648e-05,4.25096e-05
87,6.82948e-06,2.93377e-06,6.0525e-05,5.79262e-05,1.45569e-05,4.38005e-05
88,9.49712e-06,3.56621e-06,5.92302e-05,5.52411e-05,1.63789e-05,3.96755e-05
89,1.11488e-05,3.46198e-06,5.23361e-05,5.65279e-05,1.61777e-05,3.32482e-05
90,1.06911e-05,4.77631e-06,4.4939e-05,5.90784e-05,1.32454e-05,2.96174e-05
91,9.7454e-06,-5.90063e-07,4.44324e-05,5.48592e-05,1.11853e-05,2.69956e-05
92,9.84e-06,-1.51565e-05,5.13361e-05,4.6196e-05,1.24774e-05,2.2703e-05
93,1.11059e-05,-1.97146e-05,5.65664e-05,4.26672e-05,1.39447e-05,2.2827e-05
94,1.20066e-05,-5.24001e-06,5.51883e-05,4.58133e-05,1.30157e-05,3.00357e-05
95,1.35059e-05,1.09787e-05,4.87698e-05,4.8098e-05,1.20684e-05,3.57607e-05
96,1.52871e-05,1.43912e-05,4.24846e-05,4.5973e-05,1.31655e-05,3.35867e-05
97,1.5168e-05,2.89562e-06,4.14258e-05,4.05091e-05,1.4033e-05,2.56064e-05
98,1.31365e-05,-1.47587e-05,4.70819e-05,3.41691e-05,1.53723e-05,2.05234e-05
99,1.15329e-05,-2.02436e-05,5.27498e-05,3.17471e-05,1.8157e-05,2.39562e-05
100,1.10824e-05,-8.79079e-06,5.3685e-05,3.35425e-05,1.90624e-05,3.39047e-05
101,1.17334e-05,4.15739e-06,5.17559e-05,3.52893e-05,1.5698e-05,4.27839e-05
102,1.45724e-05,4.59658e-06,4.94423e-05,3.46128e-05,1.15806e-05,4.37611e-05
103,1.82073e-05,-6.6927e-06,4.98795e-05,3.09277e-05,1.04908e-05,3.66395e-05
104,1.99905e-05,-2.11521e-05,5.48076e-05,2.26118e-05,1.19361e-05,2.74633e-05
105,2.0944e-05,-2.54061e-05,5.73983e-05,1.71371e-05,1.52914e-05,2.4316e-05
106,2.11359e-05,-1.40261e-05,5.55661e-05,2.11868e-05,1.76965e-05,2.74654e-05
107,1.96386e-05,1.24915e-06,5.28103e-05,2.93226e-05,1.71168e-05,2.84626e-05
108,1.60575e-05,7.73804e-06,5.15706e-05,3.33336e-05,1.55533e-05,2.60509e-05
109,1.36692e-05,2.38273e-06,5.01388e-05,3.20712e-05,1.49726e-05,2.50592e-05
110,1.58442e-05,-1.71284e-05,4.65733e-05,2.62513e-05,1.52953e-05,2.40075e-05
111,1.79273e-05,-3.30046e-05,4.46645e-05,2.13946e-05,1.33286e-05,2.2773e-05
112,1.48527e-05,-2.1948e-05,4.92713e-05,2.53315e-05,9.64713e-06,2.70932e-05
113,1.09136e-05,-5.60859e-06,5.59623e-05,3.07449e-05,8.28275e-06,3.34436e-05
114,9.16716e-06,-2.2426e-06,6.0327e-05,3.17309e-05,8.61529e-06,3.39757e-05
115,1.06838e-05,-1.68278e-07,6.06147e-05,3.0876e-05,1.01313e-05,3.21255e-05
116,1.74503e-05,4.42977e-06,5.49729e-05,2.92632e-05,1.3219e-05,3.14355e-05
117,2.55015e-05,7.63374e-06,4.77648e-05,3.15551e-05,1.42792e-05,3.07255e-05
118,2.75079e-05,8.26894e-08,4.71036e-05,3.20641e-05,1.31077e-05,2.82822e-05
119,2.35819e-05,-1.55209e-05,5.31007e-05,2.50737e-05,1.3655e-05,2.5649e-05
120,2.09884e-05,-2.13212e-05,5.79435e-05,1.78777e-05,1.54513e-05,2.80126e-05
121,2.2099e-05,-1.00015e-05,5.72786e-05,1.71312e-05,1.52463e-05,3.69229e-05
122,2.44777e-05,3.39809e-06,5.12624e-05,2.03067e-05,1.46956e-05,4.40527e-05
123,2.63402e-05,6.9962e-06,4.50471e-05,2.26935e-05,1.56398e-05,4.47441e-05
124,2.54782e-05,-1.01868e-06,4.52071e-05,2.10787e-05,1.59006e-05,4.17344e-05
125,2.092e-05,-1.42455e-05,5.25052e-05,1.60226e-05,1.68884e-05,3.69991e-05
126,1.87917e-05,-1.97351e-05,5.99976e-05,1.28465e-05,1.96732e-05,3.32691e-05
127,2.25568e-05,-1.11768e-05,6.15047e-05,1.45617e-05,1.94647e-05,3.37943e-05
128,2.72551e-05,1.6916e-06,5.47574e-05,1.83052e-05,1.61282e-05,3.6638e-05
129,2.69437e-05,7.7611e-06,4.65273e-05,2.05945e-05,1.65488e-05,3.887e-05
130,2.27499e-05,3.90451e-06,4.50465e-05,1.98021e-05,2.08876e-05,3.96903e-05
131,1.90946e-05,-9.14733e-06,5.19758e-05,1.53657e-05,2.38664e-05,3.64682e-05
132,1.8103e-05,-1.79007e-05,6.01353e-05,1.29681e-05,2.4925e-05,3.22473e-05
133,2.05135e-05,-1.26207e-05,6.13311e-05,1.67897e-05,2.36256e-05,3.17516e-05
134,2.20663e-05,-2.27565e-06,5.83891e-05,2.09294e-05,2.08756e-05,3.40828e-05
135,1.82385e-05,4.22912e-06,5.73633e-05,2.00982e-05,1.97007e-05,3.63712e-05
136,1.52203e-05,3.77085e-06,5.64933e-05,1.65251e-05,2.0684e-05,3.62174e-05
137,1.78804e-05,-1.2166e-05,5.31257e-05,1.10167e-05,2.14572e-05,3.39483e-05
138,2.1171e-05,-2.70053e-05,4.8957e-05,9.42254e-06,1.90337e-05,3.21191e-05
139,1.94341e-05,-1.59575e-05,4.85063e-05,1.52754e-05,1.54131e-05,3.23334e-05
140,1.44212e-05,1.44257e-06,5.19072e-05,2.09582e-05,1.45221e-05,3.56164e-05
141,1.08799e-05,6.47992e-06,5.70875e-05,2.34107e-05,1.80399e-05,4.03985e-05
142,9.97869e-06,6.24964e-06,5.87393e-05,2.54892e-05,2.23185e-05,4.37485e-05
143,1.1368e-05,3.28502e-06,5.38623e-05,2.66473e-05,2.42307e-05,4.4542e-05
144,1.24712e-05,3.4329e-06,4.74477e-05,2.58053e-05,2.32349e-05,4.39949e-05
145,9.74525e-06,3.47667e-07,4.854e-05,2.23269e-05,2.01114e-05,3.87955e-05
146,4.70479e-06,-1.10491e-05,5.72635e-05,1.72896e-05,1.82155e-05,2.96051e-05
147,1.44951e-06,-1.65978e-05,6.485e-05,1.61261e-05,2.06312e-05,2.67998e-05
148,2.53777e-06,-7.85461e-06,6.54379e-05,1.864e-05,2.39958e-05,3.2966e-05
149,7.22977e-06,2.17952e-06,5.91347e-05,1.93657e-05,2.32907e-05,3.80861e-05
150,1.16051e-05,3.40521e-06,5.20929e-05,1.87142e-05,1.8614e-05,3.84632e-05
151,1.20436e-05,-4.88599e-06,5.07714e-05,1.7416e-05,1.38779e-05,3.73292e-05
152,9.66068e-06,-1.74583e-05,5.62718e-05,1.33922e-05,1.38569e-05,3.58876e-05
153,8.17591e-06,-2.10899e-05,6.19045e-05,9.74171e-06,1.8817e-05,3.50625e-05
154,8.39529e-06,-1.01626e-05,6.14461e-05,1.20448e-05,2.27839e-05,3.62169e-05
155,9.82475e-06,3.23967e-06,5.38926e-05,1.74663e-05,2.17304e-05,3.85414e-05
156,1.01347e-05,5.69309e-06,4.60682e-05,2.01007e-05,1.61899e-05,3.86707e-05
157,7.38268e-06,-3.18639e-06,4.51939e-05,1.83432e-05,7.87359e-06,3.71094e-05
158,3.96086e-06,-1.79213e-05,5.00896e-05,1.41115e-05,2.73289e-06,3.61729e-05
159,3.83878e-06,-2.46455e-05,5.45329e-05,1.28069e-05,5.34437e-06,3.63756e-05
160,4.81637e-06,-1.4846e-05,5.50196e-05,1.7538e-05,1.09406e-05,3.89366e-05
161,4.62708e-06,-2.17508e-07,5.27484e-05,2.22125e-05,1.34292e-05,4.30073e-05
162,3.65006e-06,2.33703e-06,5.34299e-05,2.27431e-05,1.48519e-05,4.40413e-05
163,3.72568e-06,-7.74677e-06,5.41441e-05,1.99681e-05,1.55645e-05,4.15244e-05
164,7.36002e-06,-2.70754e-05,5.10372e-05,1.40814e-05,1.57659e-05,3.63203e-05
165,1.12359e-05,-3.93848e-05,4.88982e-05,9.55364e-06,1.48285e-05,3.31819e-05
166,9.38116e-06,-2.67473e-05,5.28388e-05,1.29194e-05,1.18997e-05,3.57001e-05
167,2.91546e-06,-7.1688e-06,5.81712e-05,2.01837e-05,1.08963e-05,3.69947e-05
168,-1.2648e-06,-1.33564e-08,5.93343e-05,2.31542e-05,1.37816e-05,3.64577e-05
169,1.88979e-07,4.46481e-07,5.64232e-05,2.38738e-05,1.74176e-05,3.80019e-05
170,6.62756e-06,1.73759e-06,5.14845e-05,2.59089e-05,1.93162e-05,4.25697e-05
171,1.32993e-05,5.22631e-06,4.75922e-05,2.98714e-05,1.82686e-05,4.72447e-05
172,1.4762e-05,-3.13132e-07,4.9711e-05,3.01828e-05,1.61152e-05,4.58159e-05
173,1.2315e-05,-1.62605e-05,5.64742e-05,2.54673e-05,1.56235e-05,4.27168e-05
174,1.03897e-05,-2.22074e-05,6.07815e-05,2.27297e-05,1.69104e-05,4.4099e-05
175,1.09352e-05,-1.1477e-05,6.01019e-05,2.62885e-05,1.87129e-05,4.86495e-05
176,1.28267e-05,2.11034e-06,5.57997e-05,3.13819e-05,1.87131e-05,5.18738e-05
177,1.2788e-05,9.46796e-06,5.2558e-05,3.45972e-05,1.59383e-05,5.29434e-05
178,8.29774e-06,5.41086e-06,5.52372e-05,3.34455e-05,1.15998e-05,5.08231e-05
179,3.46486e-06,-7.04072e-06,6.20152e-05,2.73344e-05,1.01043e-05,4.68338e-05
180,3.65226e-06,-1.17282e-05,6.44132e-05,2.22921e-05,1.30963e-05,4.66737e-05
