Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,4.63258e-06,-1.82222e-05,4.37223e-05,3.6233e-05,3.57504e-05,-9.99854e-06
2,4.50986e-06,-2.3891e-05,5.01844e-05,3.76784e-05,3.39539e-05,-8.27101e-06
3,6.57607e-06,-1.3186e-05,5.53185e-05,4.83968e-05,3.76749e-05,-1.12016e-05
4,8.51613e-06,-4.66607e-06,5.7811e-05,5.0705e-05,4.14499e-05,-2.18121e-05
5,9.07272e-06,-2.22701e-06,5.85742e-05,4.83296e-05,4.03384e-05,-2.95203e-05
6,8.72646e-06,-1.39685e-06,5.62282e-05,4.82582e-05,3.64759e-05,-2.58158e-05
7,7.23155e-06,-6.70433e-07,5.25993e-05,4.55771e-05,3.1275e-05,-1.88109e-05
8,4.66457e-06,-2.60017e-08,5.19051e-05,4.73106e-05,2.47744e-05,-1.80388e-05
9,2.97414e-06,-9.24001e-06,5.41284e-05,4.67172e-05,1.81866e-05,-1.8879e-05
10,3.24305e-06,-2.04513e-05,5.50846e-05,4.21258e-05,1.19518e-05,-1.90514e-05
11,3.23108e-06,-1.76974e-05,5.09849e-05,4.10306e-05,4.2234e-06,-1.64898e-05
12,1.0673e-06,-5.72127e-06,4.53106e-05,4.34701e-05,-6.70859e-06,-7.46288e-06
13,-2.43392e-06,2.11426e-06,4.24986e-05,4.35682e-05,-2.05702e-05,1.79649e-06
14,-5.4492e-06,3.83288e-06,4.45396e-05,4.25319e-05,-2.95248e-05,3.89147e-06
15,-7.80272e-06,-2.8738e-06,4.70816e-05,4.04127e-05,-2.08074e-05,-2.01215e-06
16,-8.02833e-06,-1.3141e-05,4.36341e-05,3.50076e-05,-1.05849e-06,-5.94442e-06
17,-4.1719e-06,-1.21576e-05,4.00997e-05,3.48001e-05,1.39765e-05,-4.85897e-06
18,-3.06919e-07,8.64947e-07,4.15566e-05,4.13001e-05,2.37648e-05,-4.60872e-06
19,3.79475e-07,1.09833e-05,4.11136e-05,4.45889e-05,2.99913e-05,-9.07897e-06
20,3.84321e-08,1.01055e-05,3.89244e-05,4.0499e-05,3.13869e-05,-1.254e-05
21,4.74527e-07,1.84038e-06,3.98994e-05,3.36085e-05,2.70446e-05,-1.04983e-05
22,2.26534e-06,-8.13322e-06,4.394e-05,2.78344e-05,2.59997e-05,-6.22822e-06
23,4.76458e-06,-8.26946e-06,4.54157e-05,3.05496e-05,3.68852e-05,-2.99322e-06
24,6.66047e-06,2.58261e-06,4.52212e-05,3.90507e-05,5.24221e-05,-1.55784e-06
25,8.57105e-06,1.0267e-05,4.809e-05,4.25277e-05,5.9921e-05,-2.50155e-06
26,1.05337e-05,8.46093e-06,5.25305e-05,3.80168e-05,5.54418e-05,-5.48109e-06
27,1.06618e-05,-1.19318e-06,5.58561e-05,3.08531e-05,4.54009e-05,-5.75187e-06
28,1.02201e-05,-1.92719e-05,5.81331e-05,2.46421e-05,3.49428e-05,-4.61417e-06
29,1.26209e-05,-2.51087e-05,5.96838e-05,2.73928e-05,2.58361e-05,-7.34936e-06
30,1.70957e-05,-8.15022e-06,5.97341e-05,4.14742e-05,1.83597e-05,-1.27037e-05
31,1.98369e-05,4.6971e-06,5.68468e-05,4.92018e-05,1.00299e-05,-1.33677e-05
32,1.85779e-05,5.42695e-06,4.98703e-05,4.59226e-05,1.16977e-07,-9.33555e-06
33,1.45412e-05,3.79395e-06,4.34464e-05,4.04249e-05,-5.75536e-06,-7.23344e-06
34,1.00272e-05,1.41321e-06,4.3989e-05,3.92206e-05,-3.6442e-06,-8.07433e-06
35,6.66683e-06,7.42227e-07,5.05283e-05,4.05413e-05,2.58338e-06,-7.98917e-06
36,6.21691e-06,-4.00788e-06,5.23304e-05,3.56517e-05,7.28296e-06,-8.1515e-06
37,9.0968e-06,-1.31952e-05,4.68911e-05,2.74929e-05,6.89462e-06,-1.39097e-05
38,1.37371e-05,-1.47696e-05,4.23574e-05,2.61921e-05,7.04094e-07,-2.01215e-05
39,1.75657e-05,-6.04472e-06,4.21855e-05,3.18867e-05,-8.96452e-06,-1.60137e-05
40,2.0297e-05,3.09965e-07,4.24287e-05,3.49213e-05,-1.67508e-05,-3.73004e-06
41,2.22529e-05,6.31906e-07,4.22797e-05,3.36878e-05,-1.60027e-05,7.48393e-06
42,2.24432e-05,-8.31336e-06,4.52879e-05,3.12177e-05,-6.17305e-06,1.1518e-05
43,2.07824e-05,-2.17763e-05,4.90499e-05,2.97717e-05,6.60862e-06,6.20979e-06
44,1.83141e-05,-2.48001e-05,4.88236e-05,2.98004e-05,2.27632e-05,-4.62281e-06
45,1.76777e-05,-1.33832e-05,4.87423e-05,3.18245e-05,4.17435e-05,-1.37197e-05
46,2.06866e-05,-1.43598e-06,4.9017e-05,3.53126e-05,4.93974e-05,-1.98629e-05
47,2.45894e-05,1.8358e-06,4.63796e-05,3.79969e-05,4.21521e-05,-2.41622e-05
48,2.59982e-05,-3.77344e-06,4.53212e-05,3.62037e-05,2.91923e-05,-2.77671e-05
49,2.44118e-05,-1.43777e-05,5.09224e-05,2.8926e-05,2.06507e-05,-3.22899e-05
50,2.27675e-05,-1.41671e-05,5.79897e-05,2.51922e-05,1.67544e-05,-3.71544e-05
51,2.27889e-05,1.20728e-06,5.90768e-05,3.0129e-05,1.21953e-05,-3.82287e-05
52,2.30623e-05,1.46928e-05,5.65351e-05,3.64155e-05,4.47077e-06,-3.34896e-05
53,2.40014e-05,1.51226e-05,5.35752e-05,3.68195e-05,-8.68027e-06,-2.07593e-05
54,2.43929e-05,9.1774e-06,5.01733e-05,2.77966e-05,-2.42652e-05,2.75906e-06
55,2.09722e-05,-4.65903e-06,5.03418e-05,1.49825e-05,-3.28324e-05,2.10758e-05
56,1.42493e-05,-1.08466e-05,5.62587e-05,1.63246e-05,-2.43766e-05,1.92188e-05
57,9.8591e-06,2.85738e-06,6.07573e-05,2.83263e-05,-3.91717e-06,1.10344e-05
58,1.15432e-05,1.0699e-05,5.83332e-05,3.21372e-05,1.16703e-05,5.35779e-06
59,1.58935e-05,8.29138e-06,5.23965e-05,2.66854e-05,1.44748e-05,-8.96656e-07
60,1.77446e-05,7.04902e-06,4.78841e-05,2.35376e-05,1.15586e-05,-9.48096e-06
61,1.62111e-05,5.27043e-06,4.72392e-05,2.64136e-05,8.71506e-06,-1.62305e-05
62,1.43767e-05,4.25926e-06,5.04742e-05,2.99441e-05,8.64599e-06,-1.65621e-05
63,1.41521e-05,-6.18397e-06,5.38601e-05,2.7767e-05,1.17683e-05,-1.55404e-05
64,1.40215e-05,-2.03985e-05,5.56563e-05,2.51089e-05,1.48228e-05,-1.37271e-05
65,1.39916e-05,-1.78706e-05,5.43644e-05,3.03718e-05,1.60617e-05,-1.28249e-05
66,1.42418e-05,-1.15057e-06,5.24627e-05,3.92791e-05,1.40125e-05,-1.07367e-05
67,1.32115e-05,9.15569e-06,5.48866e-05,4.33717e-05,7.47922e-06,-2.03222e-06
68,1.0834e-05,6.65345e-06,5.83918e-05,4.28992e-05,3.75465e-06,1.04687e-05
69,9.4665e-06,-5.73953e-06,5.90315e-05,3.86863e-05,9.17581e-06,1.83497e-05
70,9.82587e-06,-1.65812e-05,5.45219e-05,3.43655e-05,1.81459e-05,1.58097e-05
71,1.13327e-05,-1.33433e-05,4.77365e-05,3.63922e-05,3.24558e-05,2.2559e-06
72,1.13881e-05,-1.83282e-07,4.39147e-05,4.20194e-05,5.48482e-05,-1.16705e-05
73,1.03588e-05,6.68378e-06,4.4016e-05,4.35855e-05,7.67128e-05,-1.42995e-05
74,1.22838e-05,1.78766e-06,4.59402e-05,4.02417e-05,9.06489e-05,-1.04122e-05
75,1.33951e-05,-9.42452e-06,4.91233e-05,3.53262e-05,8.9721e-05,-1.09753e-05
76,1.02109e-05,-2.21594e-05,5.48578e-05,3.03217e-05,7.29212e-05,-1.48385e-05
