Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,2.17145e-05,1.02597e-05,5.57788e-05,3.52738e-05,9.19387e-06,-8.63869e-06
2,1.87178e-05,8.24149e-06,6.00796e-05,3.39146e-05,8.81553e-06,-1.14765e-05
3,1.63305e-05,3.17425e-07,5.91136e-05,3.35976e-05,1.43126e-05,-1.21849e-05
4,1.62988e-05,-1.07341e-05,5.4285e-05,3.09946e-05,2.27429e-05,-1.01001e-05
5,1.80117e-05,-1.22088e-05,4.66364e-05,3.01257e-05,3.01626e-05,-7.98356e-06
6,2.01475e-05,-1.05557e-06,4.03575e-05,3.44465e-05,3.09851e-05,-6.02701e-06
7,2.15308e-05,8.26487e-06,3.99272e-05,4.06618e-05,2.60194e-05,-4.62962e-06
8,2.26108e-05,8.13187e-06,4.57918e-05,4.40518e-05,2.11852e-05,-5.20361e-06
9,2.14772e-05,4.20566e-07,5.04298e-05,4.11076e-05,2.07112e-05,-6.50504e-06
10,1.74366e-05,-1.11383e-05,4.92747e-05,3.42604e-05,2.303e-05,-7.90936e-06
11,1.39042e-05,-1.69916e-05,4.41451e-05,3.23818e-05,2.2726e-05,-9.0573e-06
12,1.30692e-05,-1.0518e-05,4.20222e-05,3.78465e-05,1.503e-05,-8.53092e-06
13,1.46153e-05,3.85661e-07,4.70518e-05,4.23556e-05,2.4923e-06,-4.26237e-06
14,1.62592e-05,3.5464e-06,5.51296e-05,4.20094e-05,-3.86394e-06,1.78419e-06
15,1.61066e-05,-5.45656e-06,5.91656e-05,3.86949e-05,1.62972e-06,5.92479e-06
16,1.64654e-05,-2.32117e-05,5.77676e-05,3.2565e-05,1.23448e-05,5.25099e-06
17,1.76567e-05,-3.45802e-05,5.07527e-05,2.94673e-05,1.80646e-05,2.15808e-06
18,1.63277e-05,-2.84037e-05,3.96952e-05,3.43655e-05,1.69901e-05,1.50156e-06
19,1.37231e-05,-1.44805e-05,3.44759e-05,4.03372e-05,1.07009e-05,1.88262e-06
20,1.35018e-05,-7.77791e-06,3.84091e-05,4.14378e-05,7.43621e-06,-2.24682e-06
21,1.73074e-05,-1.28816e-05,4.47096e-05,3.7496e-05,1.04722e-05,-9.2147e-06
22,1.96829e-05,-2.71381e-05,4.45728e-05,2.9526e-05,1.16587e-05,-1.30601e-05
23,1.78577e-05,-3.66357e-05,4.23483e-05,2.57172e-05,1.16222e-05,-1.37634e-05
24,1.27365e-05,-2.63715e-05,4.64941e-05,3.47171e-05,1.58305e-05,-1.24305e-05
25,7.27561e-06,-1.02836e-05,4.95999e-05,4.5368e-05,1.82587e-05,-1.00552e-05
26,7.44642e-06,-4.93849e-06,4.87313e-05,4.67112e-05,1.97903e-05,-6.62194e-06
27,9.56083e-06,-3.63499e-06,4.93035e-05,4.61037e-05,1.91343e-05,-1.50641e-06
28,7.056e-06,-2.61546e-06,5.66314e-05,4.56283e-05,1.70134e-05,4.88585e-07
29,3.92681e-06,-1.7284e-06,6.17853e-05,4.2266e-05,1.72543e-05,-1.69623e-06
30,4.67626e-06,-6.28626e-06,6.21304e-05,3.51182e-05,1.92131e-05,-3.58318e-06
31,5.98497e-06,-1.88221e-05,6.09552e-05,2.86201e-05,1.71187e-05,-3.29177e-06
32,8.14047e-06,-2.47947e-05,5.66281e-05,2.8186e-05,1.14577e-05,-3.43539e-06
33,1.0511e-05,-1.59753e-05,5.12666e-05,3.34234e-05,7.53434e-06,-4.85351e-06
34,1.18663e-05,-5.54433e-06,5.01595e-05,3.87124e-05,5.97434e-06,-5.30333e-06
35,1.33145e-05,-5.29785e-06,5.24991e-05,4.18795e-05,6.75396e-06,-4.70501e-06
36,1.44911e-05,-1.56935e-05,5.44376e-05,4.16209e-05,9.55632e-06,-3.4622e-06
37,1.47594e-05,-2.89006e-05,5.53164e-05,3.77278e-05,1.22617e-05,-2.89917e-06
38,1.65847e-05,-3.15462e-05,5.33466e-05,3.41141e-05,1.08048e-05,-2.87456e-06
