Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,-3.73832e-05,-4.31452e-07,2.63487e-05,4.72009e-05,-1.14361e-05,-2.4806e-06
2,-7.76882e-06,-3.32681e-06,3.66054e-05,5.14683e-05,-5.57615e-06,-4.29002e-06
3,6.91178e-06,-1.78312e-06,4.30891e-05,5.16048e-05,-2.77614e-06,-3.12166e-07
4,1.18605e-06,1.75822e-07,4.69885e-05,4.92343e-05,-5.04568e-06,2.96328e-06
5,-1.305e-06,-7.40258e-08,5.07866e-05,4.92915e-05,-1.26348e-05,2.69658e-06
6,9.67168e-07,1.53473e-06,4.91156e-05,4.90394e-05,-2.05891e-05,-1.14051e-07
7,9.51026e-07,5.63457e-06,4.42812e-05,4.90196e-05,-2.31767e-05,-2.69806e-07
8,-1.14621e-05,9.10989e-06,3.68534e-05,4.93797e-05,-2.1249e-05,1.067e-06
9,-2.54892e-05,8.5147e-06,3.35914e-05,5.42157e-05,-1.80443e-05,1.1762e-06
10,-1.96083e-05,4.06274e-06,4.00237e-05,6.13747e-05,-1.63938e-05,5.36406e-06
11,-1.13399e-08,1.61609e-06,4.87675e-05,6.43108e-05,-1.45027e-05,1.08221e-05
12,8.71566e-06,4.63456e-06,5.05146e-05,6.01004e-05,-1.19906e-05,1.34581e-05
13,4.05147e-06,1.06346e-05,4.69744e-05,5.32995e-05,-1.05439e-05,1.40927e-05
14,-8.14356e-06,1.50086e-05,3.92446e-05,4.93723e-05,-8.98899e-06,1.20577e-05
15,-1.80268e-05,1.36297e-05,2.86087e-05,5.04687e-05,-5.935e-06,7.27967e-06
16,-1.22756e-05,9.77333e-06,2.54103e-05,5.2724e-05,-1.91434e-06,2.63567e-06
17,6.48717e-06,8.90505e-06,3.10306e-05,5.2748e-05,-2.8615e-07,2.81258e-06
18,1.94142e-05,1.20821e-05,3.511e-05,5.31738e-05,-3.86989e-06,6.81746e-06
19,1.4895e-05,1.53867e-05,3.38591e-05,5.24795e-05,-7.94619e-06,9.80488e-06
20,-2.24076e-06,1.57044e-05,3.0385e-05,5.02014e-05,-5.97426e-06,1.0187e-05
21,-1.92864e-05,1.15261e-05,2.76958e-05,4.95656e-05,-1.48924e-06,9.03075e-06
22,-1.7322e-05,5.01224e-06,3.11243e-05,5.13826e-05,-7.40342e-07,1.09418e-05
23,3.12209e-06,1.44324e-06,3.69569e-05,5.11819e-05,-2.92275e-06,1.79916e-05
24,1.70525e-05,1.76496e-06,3.78868e-05,4.98919e-05,-5.90975e-06,2.09255e-05
25,1.19078e-05,6.01644e-06,3.67335e-05,4.88122e-05,-8.95809e-06,1.7308e-05
26,-1.48085e-06,1.00735e-05,3.45905e-05,4.76368e-05,-1.16199e-05,1.22945e-05
27,-1.96385e-05,8.61925e-06,2.87664e-05,4.8246e-05,-1.43193e-05,5.95021e-06
28,-2.43616e-05,3.29199e-06,2.57038e-05,5.27176e-05,-1.70291e-05,4.54281e-06
29,-8.24629e-06,1.78501e-06,3.07814e-05,6.03445e-05,-1.59502e-05,1.33613e-05
30,1.15606e-06,4.58349e-06,3.52423e-05,6.28664e-05,-1.44843e-05,2.14025e-05
31,2.38678e-06,7.32226e-06,3.56839e-05,5.68358e-05,-1.55022e-05,1.88585e-05
32,5.87682e-06,1.01564e-05,3.95486e-05,5.35754e-05,-1.42077e-05,1.14891e-05
33,3.77406e-06,1.16775e-05,4.26687e-05,5.15471e-05,-1.23873e-05,1.02153e-05
34,-1.75314e-06,1.29847e-05,4.14792e-05,4.42908e-05,-1.01017e-05,1.71149e-05
35,-1.15928e-05,1.45607e-05,3.56525e-05,3.82826e-05,-7.7462e-06,1.92292e-05
36,-2.28155e-05,1.4155e-05,3.00784e-05,4.08652e-05,-7.81208e-06,1.54439e-05
37,-1.78129e-05,1.04322e-05,3.31496e-05,4.86476e-05,-8.5182e-06,1.72332e-05
38,-2.46113e-06,6.4754e-06,4.18242e-05,5.63898e-05,-8.58572e-06,2.11623e-05
