Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
1,-1.38544e-05,2.32944e-05,3.43748e-05,5.3291e-05,1.65732e-05,1.17051e-05
2,-1.85443e-05,2.6926e-05,2.98133e-05,5.13561e-05,1.92088e-05,1.17711e-05
3,-8.87043e-06,2.96926e-05,2.94599e-05,4.8771e-05,1.83004e-05,1.63407e-05
4,2.60592e-06,2.79067e-05,3.29494e-05,4.88423e-05,2.16085e-05,1.95738e-05
5,3.08953e-06,2.20065e-05,3.61232e-05,4.73486e-05,2.81333e-05,1.73845e-05
6,-8.40509e-06,1.53558e-05,3.60367e-05,4.32969e-05,3.27982e-05,1.25533e-05
7,-2.41248e-05,9.56154e-06,3.30193e-05,4.28313e-05,3.46348e-05,1.05919e-05
8,-3.0588e-05,7.58906e-06,3.16325e-05,4.78123e-05,3.37141e-05,1.3348e-05
9,-2.16862e-05,1.28665e-05,3.39122e-05,5.08584e-05,3.17339e-05,1.88936e-05
10,-7.1199e-06,2.40366e-05,3.71723e-05,4.75411e-05,3.33928e-05,2.36938e-05
11,3.47369e-07,3.64809e-05,3.9963e-05,4.19421e-05,3.97113e-05,2.34646e-05
12,-2.96982e-06,4.67208e-05,4.14513e-05,3.91469e-05,4.41159e-05,1.70908e-05
13,-1.43601e-05,5.33982e-05,4.07099e-05,4.21235e-05,4.20983e-05,7.74491e-06
14,-2.24557e-05,5.91275e-05,4.15689e-05,4.96413e-05,3.67726e-05,1.84566e-06
15,-1.66687e-05,6.85851e-05,4.64794e-05,5.49959e-05,3.33318e-05,3.87377e-06
16,-4.69538e-06,8.14783e-05,5.01047e-05,5.45567e-05,3.49125e-05,1.10694e-05
17,-2.41022e-07,9.13701e-05,4.89239e-05,5.27084e-05,3.99142e-05,1.66006e-05
18,-5.34864e-06,9.4623e-05,4.50132e-05,5.43801e-05,4.33214e-05,1.65091e-05
19,-1.96357e-05,9.01435e-05,3.96945e-05,5.84438e-05,4.46104e-05,1.12046e-05
20,-3.24511e-05,7.5307e-05,3.49732e-05,6.02526e-05,4.39207e-05,7.35644e-06
21,-2.57843e-05,5.00516e-05,3.43685e-05,5.79715e-05,4.13109e-05,1.21245e-05
22,-9.71052e-06,2.17544e-05,3.63865e-05,5.31915e-05,4.19836e-05,2.03063e-05
23,-1.15924e-06,-7.63479e-07,3.81318e-05,5.02926e-05,4.7121e-05,2.20519e-05
24,3.99257e-06,-1.48423e-05,3.83457e-05,5.23533e-05,5.09e-05,1.83801e-05
25,7.76326e-06,-1.95789e-05,3.59722e-05,5.56637e-05,4.92775e-05,1.90648e-05
26,5.88945e-06,-1.74106e-05,3.68051e-05,5.38383e-05,4.38809e-05,2.66261e-05
27,-5.67983e-06,-1.59889e-05,4.07801e-05,4.82998e-05,4.08325e-05,3.1285e-05
28,-2.19397e-05,-2.07635e-05,4.1424e-05,4.67228e-05,4.13577e-05,2.79442e-05
29,-2.63435e-05,-2.72363e-05,4.1225e-05,5.21352e-05,3.98036e-05,2.27372e-05
30,-1.43631e-05,-2.85829e-05,4.30965e-05,5.85687e-05,3.55204e-05,2.34271e-05
31,-1.75601e-06,-2.26355e-05,4.40528e-05,5.7809e-05,3.37979e-05,3.01435e-05
32,-5.14483e-08,-1.12581e-05,4.33221e-05,4.93274e-05,3.69053e-05,3.5655e-05
33,-8.12181e-06,-3.85566e-07,4.2812e-05,4.07323e-05,4.12546e-05,3.69042e-05
34,-1.98719e-05,4.91324e-06,4.25971e-05,3.90627e-05,4.15003e-05,3.77649e-05
35,-2.33464e-05,5.61816e-06,4.36062e-05,4.45342e-05,3.46797e-05,4.05901e-05
36,-1.24439e-05,6.38357e-06,4.49913e-05,5.11344e-05,2.61484e-05,4.26772e-05
37,9.17337e-07,1.13209e-05,4.48324e-05,5.35947e-05,2.62635e-05,4.19604e-05
38,4.92539e-06,2.07148e-05,4.42438e-05,5.25085e-05,3.5589e-05,4.02131e-05
39,9.98204e-07,2.76743e-05,4.532e-05,4.97758e-05,4.39239e-05,3.83858e-05
